model,config,run_id,run_name,metric,n,mean,std,min,max,last
Student S,S1,ynh2rrwe,bevfusion_student_xxs_kd_feature,loss,1848,1.520000351262944,0.09913565948405581,1.3620149207115173,2.4324710392951965,1.4570834636688232
Student S,S1,ynh2rrwe,bevfusion_student_xxs_kd_feature,grad_norm,1811,2.67400730600415,0.42735953794238707,2.001896343231201,4.398462233543396,2.944191529750824
Student S,S1,ynh2rrwe,bevfusion_student_xxs_kd_feature,loss_heatmap,1848,0.5053657036324665,0.0417386788530295,0.43436801731586455,0.8449111700057983,0.47360342383384707
Student S,S1,ynh2rrwe,bevfusion_student_xxs_kd_feature,layer_-1_loss_cls,1848,0.08271270760984133,0.0077316639305240725,0.07033652760088444,0.1665322497487068,0.07585577949881554
Student S,S1,ynh2rrwe,bevfusion_student_xxs_kd_feature,layer_-1_loss_bbox,1848,0.5251219039610325,0.046414074481095025,0.4394309490919113,0.9694852888584137,0.505233581662178
Student S,S1,ynh2rrwe,bevfusion_student_xxs_kd_feature,loss_kd_feature_camera,1848,0.2937757956965532,0.00645939904878359,0.28781200826168063,0.3388582545518875,0.2892469871044159
Student S,S1,ynh2rrwe,bevfusion_student_xxs_kd_feature,loss_kd_feature_lidar,1848,0.1130242403141864,0.0003424092889659883,0.11202198892831802,0.11426577046513557,0.11314368203282356
Student S,S2,bpbdh38x,bevfusion_student_xxs_kd_feature_bev,loss,1848,1.6988172957507564,0.10431502295597955,1.528482074737549,2.678827395439148,1.6351879930496216
Student S,S2,bpbdh38x,bevfusion_student_xxs_kd_feature_bev,grad_norm,1813,3.322862642367637,0.8913647607242781,2.0599653100967408,8.562683606147766,5.215084528923034
Student S,S2,bpbdh38x,bevfusion_student_xxs_kd_feature_bev,loss_heatmap,1848,0.5058200042607722,0.04138612947452335,0.43546679735183713,0.8586998927593231,0.47618779599666594
Student S,S2,bpbdh38x,bevfusion_student_xxs_kd_feature_bev,layer_-1_loss_cls,1848,0.0829895920666475,0.0077994508107218545,0.07079680383205414,0.17637440368533133,0.07681370466947555
Student S,S2,bpbdh38x,bevfusion_student_xxs_kd_feature_bev,layer_-1_loss_bbox,1848,0.5243917361324354,0.04445635232411043,0.4298369085788727,0.9677610063552856,0.5069324040412903
Student S,S2,bpbdh38x,bevfusion_student_xxs_kd_feature_bev,loss_kd_feature_camera,1848,0.25549734011195696,0.012733971495643155,0.24564593702554702,0.3392274457216263,0.24726898163557054
Student S,S2,bpbdh38x,bevfusion_student_xxs_kd_feature_bev,loss_kd_feature_lidar,1848,0.11484070429691312,0.00036827469782608644,0.11390914276242256,0.11619262233376502,0.11440961465239524
Student S,S2,bpbdh38x,bevfusion_student_xxs_kd_feature_bev,loss_kd_feature_bev,1848,0.21527791896875284,0.0018917495275325225,0.21314287990331648,0.22105711370706557,0.21357549071311951
Student S,S2,bpbdh38x,bevfusion_student_xxs_kd_feature_bev,loss_kd_feature_bev,1848,0.21527791896875284,0.0018917495275325225,0.21314287990331648,0.22105711370706557,0.21357549071311951
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,loss,1848,3.717392994093173,0.1789245196446507,3.451060357093811,6.5449715518951415,3.54361111164093
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,grad_norm,1813,4.075241689599159,0.8682838190714667,2.7835169625282288,11.345610914230347,5.173589947223664
Student S,S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,loss_heatmap,1848,0.5239294424228919,0.04047833088049017,0.4522601348161697,0.8899023103713989,0.48569299578666686
